episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,-125.35244551928368,4,True,False,3,0.27897954
1,41.91868680207425,40,False,False,0,0.2501634
2,-134.30354502262404,5,True,False,4,0.28053257
3,-6.729988198059857,40,False,False,5,0.2500978
4,42.76948279608289,40,False,False,0,0.25181764
5,-47.78200753097511,40,False,False,9,0.2518235
6,42.02061100104507,40,False,False,0,0.25032204
7,-125.65244551928367,4,True,False,3,0.29327682
8,43.570610998483716,40,False,False,0,0.25029987
9,-115.60244551928368,4,True,False,2,0.26763245
10,-132.89460569050922,6,True,False,4,0.30264524
11,44.02061100104512,40,False,False,0,0.25032204
12,42.02061100104507,40,False,False,0,0.25032204
13,-134.5524455682243,5,True,False,4,0.27895498
14,-132.90112420902773,6,True,False,4,0.29243293
15,41.170094433800195,40,False,False,0,0.25025553
16,42.02061100104507,40,False,False,0,0.25032204
17,-131.75112420902772,7,True,False,4,0.29135066
18,-116.55112416574016,3,True,False,2,0.25944543
19,40.02061100104509,40,False,False,0,0.25032204
