episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,43.96919231898162,40,False,False,0,0.25029987
1,-124.35465638092876,5,True,False,3,0.28039283
2,-125.35244551928368,4,True,False,3,0.28563577
3,-125.265568653625,4,True,False,3,0.30225492
4,40.52061100104506,40,False,False,0,0.25029987
5,-195.979388998955,40,False,False,24,0.25032204
6,-122.90112420902773,6,True,False,3,0.2902907
7,42.120094521460516,40,False,False,0,0.25029987
8,40.718689788610405,40,False,False,0,0.25022346
9,-124.15244556822432,5,True,False,3,0.29100862
10,-47.98249220211818,40,False,False,9,0.25175798
11,41.06917507847426,40,False,False,0,0.25023344
12,-125.35244551928368,4,True,False,3,0.28932455
13,-125.50335215567544,4,True,False,3,0.2749388
14,-125.65244551928367,4,True,False,3,0.29327682
15,-119.97938899895492,40,False,False,16,0.25032204
16,40.570611001045066,40,False,False,0,0.25029987
17,-124.0524455684425,5,True,False,3,0.3121943
18,-131.90356109385723,7,True,False,4,0.29100674
19,40.119482796095646,40,False,False,0,0.2518669
